,Response
4481,"In the year 20201231, the following economic and demographic indicators for St. Lucia are available:
GDP (current US$): 1516015718.73491 US$
GDP per capita (current US$): 8458.1627606739 US$
Total Population: 179237.0
Land Area (sq. km): 610.0 sq. km
Official Exchange Rate (LCU per US$, period average): 2.7

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4482,"In the year 20211231, the following economic and demographic indicators for St. Lucia are available:
GDP (current US$): 1691275156.6002 US$
GDP per capita (current US$): 9414.22623085983 US$
Total Population: 179651.0
Land Area (sq. km): 610.0 sq. km
Official Exchange Rate (LCU per US$, period average): 2.7

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4483,"In the year 20191231, the following economic and demographic indicators for St. Martin (French part) are available:
GDP (current US$): 0.0 US$
GDP per capita (current US$): 0.0 US$
Total Population: 33121.0
Land Area (sq. km): 50.0 sq. km
Official Exchange Rate (LCU per US$, period average): 0.0

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4484,"In the year 20201231, the following economic and demographic indicators for St. Martin (French part) are available:
GDP (current US$): 0.0 US$
GDP per capita (current US$): 0.0 US$
Total Population: 32553.0
Land Area (sq. km): 50.0 sq. km
Official Exchange Rate (LCU per US$, period average): 0.0

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4485,"In the year 20211231, the following economic and demographic indicators for St. Martin (French part) are available:
GDP (current US$): 0.0 US$
GDP per capita (current US$): 0.0 US$
Total Population: 31948.0
Land Area (sq. km): 50.0 sq. km
Official Exchange Rate (LCU per US$, period average): 0.0

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4486,"In the year 20191231, the following economic and demographic indicators for St. Vincent and the Grenadines are available:
GDP (current US$): 910149703.703704 US$
GDP per capita (current US$): 8674.37100857481 US$
Total Population: 104924.0
Land Area (sq. km): 390.0 sq. km
Official Exchange Rate (LCU per US$, period average): 2.7

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4487,"In the year 20201231, the following economic and demographic indicators for St. Vincent and the Grenadines are available:
GDP (current US$): 872134555.555555 US$
GDP per capita (current US$): 8335.25647560551 US$
Total Population: 104632.0
Land Area (sq. km): 390.0 sq. km
Official Exchange Rate (LCU per US$, period average): 2.7

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4488,"In the year 20211231, the following economic and demographic indicators for St. Vincent and the Grenadines are available:
GDP (current US$): 904181492.766708 US$
GDP per capita (current US$): 8666.38704104884 US$
Total Population: 104332.0
Land Area (sq. km): 390.0 sq. km
Official Exchange Rate (LCU per US$, period average): 2.7

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4489,"In the year 20191231, the following economic and demographic indicators for Sub-Saharan Africa  are available:
GDP (current US$): 1795736152604.65 US$
GDP per capita (current US$): 1601.1217636118 US$
Total Population: 1121548775.0
Land Area (sq. km): 23890942.404 sq. km
Official Exchange Rate (LCU per US$, period average): 0.0

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4490,"In the year 20201231, the following economic and demographic indicators for Sub-Saharan Africa  are available:
GDP (current US$): 1712284150354.68 US$
GDP per capita (current US$): 1487.25915302475 US$
Total Population: 1151301807.0
Land Area (sq. km): 23890896.094 sq. km
Official Exchange Rate (LCU per US$, period average): 0.0

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4491,"In the year 20211231, the following economic and demographic indicators for Sub-Saharan Africa  are available:
GDP (current US$): 1920898889336.07 US$
GDP per capita (current US$): 1626.27792590406 US$
Total Population: 1181162739.0
Land Area (sq. km): 23852823.228 sq. km
Official Exchange Rate (LCU per US$, period average): 0.0

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4492,"In the year 20191231, the following economic and demographic indicators for Sudan are available:
GDP (current US$): 32338079165.2893 US$
GDP per capita (current US$): 748.010925292969 US$
Total Population: 43232093.0
Land Area (sq. km): 1868000.0 sq. km
Official Exchange Rate (LCU per US$, period average): 45.7670454545455

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4493,"In the year 20201231, the following economic and demographic indicators for Sudan are available:
GDP (current US$): 27034593750.0 US$
GDP per capita (current US$): 608.33251953125 US$
Total Population: 44440486.0
Land Area (sq. km): 1868000.0 sq. km
Official Exchange Rate (LCU per US$, period average): 53.9960119047619

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4494,"In the year 20211231, the following economic and demographic indicators for Sudan are available:
GDP (current US$): 34326058557.4418 US$
GDP per capita (current US$): 751.821350097656 US$
Total Population: 45657202.0
Land Area (sq. km): 1849233.715 sq. km
Official Exchange Rate (LCU per US$, period average): 0.0

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4495,"In the year 20191231, the following economic and demographic indicators for Suriname are available:
GDP (current US$): 4016040575.08796 US$
GDP per capita (current US$): 6690.04478601228 US$
Total Population: 600301.0
Land Area (sq. km): 156000.0 sq. km
Official Exchange Rate (LCU per US$, period average): 7.458

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4496,"In the year 20201231, the following economic and demographic indicators for Suriname are available:
GDP (current US$): 2911807496.20227 US$
GDP per capita (current US$): 4796.53331389928 US$
Total Population: 607065.0
Land Area (sq. km): 156000.0 sq. km
Official Exchange Rate (LCU per US$, period average): 9.30954545454546

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4497,"In the year 20211231, the following economic and demographic indicators for Suriname are available:
GDP (current US$): 2984706243.65482 US$
GDP per capita (current US$): 4869.13422621242 US$
Total Population: 612985.0
Land Area (sq. km): 156000.0 sq. km
Official Exchange Rate (LCU per US$, period average): 18.2386666666667

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4498,"In the year 20191231, the following economic and demographic indicators for Sweden are available:
GDP (current US$): 533879529188.454 US$
GDP per capita (current US$): 51939.4297445291 US$
Total Population: 10278887.0
Land Area (sq. km): 407283.59 sq. km
Official Exchange Rate (LCU per US$, period average): 9.45834916666666

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4499,"In the year 20201231, the following economic and demographic indicators for Sweden are available:
GDP (current US$): 547054174235.876 US$
GDP per capita (current US$): 52837.9039778149 US$
Total Population: 10353442.0
Land Area (sq. km): 407283.532 sq. km
Official Exchange Rate (LCU per US$, period average): 9.21030902842085

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4500,"In the year 20211231, the following economic and demographic indicators for Sweden are available:
GDP (current US$): 635663801201.765 US$
GDP per capita (current US$): 61028.7380600287 US$
Total Population: 10415811.0
Land Area (sq. km): 407310.0 sq. km
Official Exchange Rate (LCU per US$, period average): 8.57656671607378

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4501,"In the year 20191231, the following economic and demographic indicators for Switzerland are available:
GDP (current US$): 721369112726.724 US$
GDP per capita (current US$): 84121.9310304414 US$
Total Population: 8575280.0
Land Area (sq. km): 39516.03 sq. km
Official Exchange Rate (LCU per US$, period average): 0.993709166666667

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4502,"In the year 20201231, the following economic and demographic indicators for Switzerland are available:
GDP (current US$): 739913619797.445 US$
GDP per capita (current US$): 85656.322666307 US$
Total Population: 8638167.0
Land Area (sq. km): 39516.03 sq. km
Official Exchange Rate (LCU per US$, period average): 0.938965

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4503,"In the year 20211231, the following economic and demographic indicators for Switzerland are available:
GDP (current US$): 800640155387.26 US$
GDP per capita (current US$): 91991.6004583563 US$
Total Population: 8703405.0
Land Area (sq. km): 39516.03 sq. km
Official Exchange Rate (LCU per US$, period average): 0.913845833333333

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4504,"In the year 20191231, the following economic and demographic indicators for Syrian Arab Republic are available:
GDP (current US$): 22443299775.342 US$
GDP per capita (current US$): 1116.67924613649 US$
Total Population: 20098251.0
Land Area (sq. km): 183630.0 sq. km
Official Exchange Rate (LCU per US$, period average): 0.0

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4505,"In the year 20201231, the following economic and demographic indicators for Syrian Arab Republic are available:
GDP (current US$): 11079795397.2805 US$
GDP per capita (current US$): 533.3852317094 US$
Total Population: 20772595.0
Land Area (sq. km): 183630.0 sq. km
Official Exchange Rate (LCU per US$, period average): 0.0

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4506,"In the year 20211231, the following economic and demographic indicators for Syrian Arab Republic are available:
GDP (current US$): 0.0 US$
GDP per capita (current US$): 0.0 US$
Total Population: 21324367.0
Land Area (sq. km): 183630.0 sq. km
Official Exchange Rate (LCU per US$, period average): 0.0

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4507,"In the year 20191231, the following economic and demographic indicators for Tajikistan are available:
GDP (current US$): 8300784856.87904 US$
GDP per capita (current US$): 889.02026237745 US$
Total Population: 9337003.0
Land Area (sq. km): 138790.0 sq. km
Official Exchange Rate (LCU per US$, period average): 9.53036666666667

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4508,"In the year 20201231, the following economic and demographic indicators for Tajikistan are available:
GDP (current US$): 8133996647.90397 US$
GDP per capita (current US$): 852.333670212118 US$
Total Population: 9543207.0
Land Area (sq. km): 138790.0 sq. km
Official Exchange Rate (LCU per US$, period average): 10.3219416666667

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4509,"In the year 20211231, the following economic and demographic indicators for Tajikistan are available:
GDP (current US$): 8746270636.40142 US$
GDP per capita (current US$): 897.047510293411 US$
Total Population: 9750064.0
Land Area (sq. km): 138790.0 sq. km
Official Exchange Rate (LCU per US$, period average): 11.30885

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4510,"In the year 20191231, the following economic and demographic indicators for Tanzania are available:
GDP (current US$): 61136873692.3985 US$
GDP per capita (current US$): 1052.02172851563 US$
Total Population: 59872579.0
Land Area (sq. km): 885800.0 sq. km
Official Exchange Rate (LCU per US$, period average): 2288.20666666667

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4511,"In the year 20201231, the following economic and demographic indicators for Tanzania are available:
GDP (current US$): 62409709110.9538 US$
GDP per capita (current US$): 1042.0966796875 US$
Total Population: 61704518.0
Land Area (sq. km): 885800.0 sq. km
Official Exchange Rate (LCU per US$, period average): 2294.14615050509

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4512,"In the year 20211231, the following economic and demographic indicators for Tanzania are available:
GDP (current US$): 67841049193.3855 US$
GDP per capita (current US$): 1099.28759765625 US$
Total Population: 63588334.0
Land Area (sq. km): 885800.0 sq. km
Official Exchange Rate (LCU per US$, period average): 2297.76422623792

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4513,"In the year 20191231, the following economic and demographic indicators for Thailand are available:
GDP (current US$): 544081056184.697 US$
GDP per capita (current US$): 7630.03960991873 US$
Total Population: 71307763.0
Land Area (sq. km): 510890.0 sq. km
Official Exchange Rate (LCU per US$, period average): 31.0476057805499

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4514,"In the year 20201231, the following economic and demographic indicators for Thailand are available:
GDP (current US$): 499681757030.968 US$
GDP per capita (current US$): 6990.93550262041 US$
Total Population: 71475664.0
Land Area (sq. km): 510890.0 sq. km
Official Exchange Rate (LCU per US$, period average): 31.2936732130832

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4515,"In the year 20211231, the following economic and demographic indicators for Thailand are available:
GDP (current US$): 505947037098.424 US$
GDP per capita (current US$): 7066.19054595323 US$
Total Population: 71601103.0
Land Area (sq. km): 510890.0 sq. km
Official Exchange Rate (LCU per US$, period average): 31.9770934417717

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4516,"In the year 20191231, the following economic and demographic indicators for Timor-Leste are available:
GDP (current US$): 2028551627.60532 US$
GDP per capita (current US$): 1584.26384378261 US$
Total Population: 1280438.0
Land Area (sq. km): 14870.0 sq. km
Official Exchange Rate (LCU per US$, period average): 1.0

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4517,"In the year 20201231, the following economic and demographic indicators for Timor-Leste are available:
GDP (current US$): 2158392539.93697 US$
GDP per capita (current US$): 1660.30833959898 US$
Total Population: 1299995.0
Land Area (sq. km): 14870.0 sq. km
Official Exchange Rate (LCU per US$, period average): 1.0

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4518,"In the year 20211231, the following economic and demographic indicators for Timor-Leste are available:
GDP (current US$): 3621222382.15929 US$
GDP per capita (current US$): 2741.39393111832 US$
Total Population: 1320942.0
Land Area (sq. km): 14870.0 sq. km
Official Exchange Rate (LCU per US$, period average): 1.0

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4519,"In the year 20191231, the following economic and demographic indicators for Togo are available:
GDP (current US$): 7220395247.7424 US$
GDP per capita (current US$): 875.932659234798 US$
Total Population: 8243094.0
Land Area (sq. km): 54390.0 sq. km
Official Exchange Rate (LCU per US$, period average): 585.911013180369

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4520,"In the year 20201231, the following economic and demographic indicators for Togo are available:
GDP (current US$): 7574636978.66175 US$
GDP per capita (current US$): 897.194575433309 US$
Total Population: 8442580.0
Land Area (sq. km): 54390.0 sq. km
Official Exchange Rate (LCU per US$, period average): 575.586004510945

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4521,"In the year 20211231, the following economic and demographic indicators for Togo are available:
GDP (current US$): 8413200567.6151 US$
GDP per capita (current US$): 973.206129076133 US$
Total Population: 8644829.0
Land Area (sq. km): 54390.0 sq. km
Official Exchange Rate (LCU per US$, period average): 554.530675033104

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4522,"In the year 20191231, the following economic and demographic indicators for Tonga are available:
GDP (current US$): 512057749.020644 US$
GDP per capita (current US$): 4879.0173416227 US$
Total Population: 104951.0
Land Area (sq. km): 720.0 sq. km
Official Exchange Rate (LCU per US$, period average): 2.28948563032632

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4523,"In the year 20201231, the following economic and demographic indicators for Tonga are available:
GDP (current US$): 484806718.323882 US$
GDP per capita (current US$): 4606.06455169288 US$
Total Population: 105254.0
Land Area (sq. km): 720.0 sq. km
Official Exchange Rate (LCU per US$, period average): 2.29956150787889

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4524,"In the year 20211231, the following economic and demographic indicators for Tonga are available:
GDP (current US$): 469231309.539488 US$
GDP per capita (current US$): 4426.00063706281 US$
Total Population: 106017.0
Land Area (sq. km): 720.0 sq. km
Official Exchange Rate (LCU per US$, period average): 2.26495960050055

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4525,"In the year 20191231, the following economic and demographic indicators for Trinidad and Tobago are available:
GDP (current US$): 23849557811.8957 US$
GDP per capita (current US$): 15690.9630955493 US$
Total Population: 1519955.0
Land Area (sq. km): 5130.0 sq. km
Official Exchange Rate (LCU per US$, period average): 6.7543266828632

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4526,"In the year 20201231, the following economic and demographic indicators for Trinidad and Tobago are available:
GDP (current US$): 21059428851.4883 US$
GDP per capita (current US$): 13871.7982194664 US$
Total Population: 1518147.0
Land Area (sq. km): 5130.0 sq. km
Official Exchange Rate (LCU per US$, period average): 6.75105268711505

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
4527,"In the year 20211231, the following economic and demographic indicators for Trinidad and Tobago are available:
GDP (current US$): 24460196270.6866 US$
GDP per capita (current US$): 16032.5027680992 US$
Total Population: 1525663.0
Land Area (sq. km): 5130.0 sq. km
Official Exchange Rate (LCU per US$, period average): 6.75853004916294

These economic and geographic indicators provide a snapshot of a country's vital statistics. The GDP in current US dollars measures the overall economic output, while GDP per capita offers insight into the average economic well-being per person. Total population reflects the demographic scale, land area denotes geographic expanse, and the official exchange rate illustrates the value of the country's currency in relation to the US dollar. Together, these indicators convey essential information about a nation's economic health, population size, and international economic interactions."
